N°,Fecha,Producto,Valor,Unidad,Venta ,Tipo de venta,Forma de Pago,Estado,Mes,dia de la semana,,
217,05/02/2026,Plato M17,,3,$2.400,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
218,05/02/2026,Plato M21 (gris),,2,$2.400,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
219,05/02/2026,Sanseviera M,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
220,05/02/2026,Hierba Romero S,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
221,05/02/2026,Plato M35,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
222,05/02/2026,Plato M25,,1,$1.100,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
223,09/02/2026,Tierra 15 L,,1,$4.500,Ventas presencial,Efectivo,Si,febrero,lun,,
224,09/02/2026,Macetero Resina S,,1,$2.500,Ventas presencial,Efectivo,Si,febrero,lun,,
225,09/02/2026,Macetero M35,,2,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
226,09/02/2026,Tierra 15 L,,1,$4.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
227,09/02/2026,Perlita,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
228,09/02/2026,Fibra de coco,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
229,09/02/2026,Sustrato,,6,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
230,10/02/2026,Monstera Deliciosa M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
231,10/02/2026,Sustrato,,5,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
232,10/02/2026,Cactus L,,1,$10.000,Ventas presencial,Efectivo,Si,febrero,mar,,
233,10/02/2026,Regadera,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
234,11/02/2026,OFERTA Luces,,2,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
235,11/02/2026,Cucharita L,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
236,11/02/2026,Singonio Plateado M,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
237,11/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
238,11/02/2026,Jabón Potásico,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
239,11/02/2026,Hierba Buena,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
240,11/02/2026,Hierba Ruda,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
241,11/02/2026,Plato M21 (gris),,1,$1.200,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
242,11/02/2026,Macetero M19,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
243,11/02/2026,Plato Cerámica 18 cm,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
244,11/02/2026,Macetero Cerámica Gris/Verde oscuro/Menta M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
245,12/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
246,12/02/2026,Cucharita M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
247,12/02/2026,Bolsa de regalo,,1,$500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
248,13/02/2026,Promo Suculentas,,4,$40.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
249,13/02/2026,Suculenta XS,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
250,13/02/2026,OFERTA Suculenta,,1,$500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
251,13/02/2026,Pothus Marble M,,1,$15.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
252,13/02/2026,Suculenta L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
253,13/02/2026,Suculenta XL,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
254,13/02/2026,Macetero Cerámica Blanco S,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
255,13/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Efectivo,Si,febrero,vie,,
256,13/02/2026,Manto de Eva,,1,$25.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
257,13/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
258,13/02/2026,Macetero Cerámica Dinosaurio,,1,$9.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
259,13/02/2026,Tradescantia Nanouk M,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
260,13/02/2026,Pothus Golden,,1,$7.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
261,13/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
262,13/02/2026,Perlita,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
263,14/02/2026,Cactus S,,2,$6.000,Ventas presencial,Efectivo,Si,febrero,sáb,,
264,14/02/2026,Macetero Cerámica Blanco con lineas negras L,,1,$10.000,Ventas presencial,Efectivo,Si,febrero,sáb,,
265,14/02/2026,Suculenta XS,,1,$1.000,Ventas presencial,Efectivo,Si,febrero,sáb,,
266,14/02/2026,Macetero M21,,1,$3.000,Ventas presencial,Efectivo,Si,febrero,sáb,,
267,14/02/2026,Cyclamen,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
268,14/02/2026,Macetero Cerámica Flores celeste S,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
269,14/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Efectivo,Si,febrero,sáb,,
270,14/02/2026,Suculenta XL,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,Suculenta de coleccion,
271,14/02/2026,Hypoeste M,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
272,14/02/2026,Macetero Cerámica Gris/Verde oscuro/Menta S,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
273,14/02/2026,Singonio Confetti M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
274,14/02/2026,Hypoeste M,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
275,14/02/2026,Macetero Cerámica generico S,,4,$12.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
276,14/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
277,14/02/2026,Tradescantia Zebrina Burgundy L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
278,14/02/2026,Perlita,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
279,14/02/2026,Fibra de coco,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
280,14/02/2026,Macetero M19,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
281,14/02/2026,Cordatum Lemon,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
282,14/02/2026,Sanseviera S,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
283,14/02/2026,Hypoeste M,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
284,14/02/2026,Sustrato,,10,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
285,14/02/2026,Gomero Indio,,2,$11.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
286,14/02/2026,Tutor verde 120,,1,$1.100,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
287,14/02/2026,Macetero M15,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
288,14/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
289,14/02/2026,Cactus M,,1,$7.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
290,14/02/2026,Singonio Variegado M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
291,14/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
292,15/02/2026,Macetero M21,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,dom,,
293,15/02/2026,Macetero M28,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,dom,,
294,15/02/2026,Filodendro Pink Princess M,,1,$17.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,dom,,
295,15/02/2026,Macetero Cerámica Rosado S,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,dom,,
296,15/02/2026,Medidor Análogo,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,dom,,
297,15/02/2026,Sustrato,,10,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,dom,,
298,16/02/2026,Macetero M12,,7,$5.600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
299,16/02/2026,Tierra 15 L,,1,$4.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
300,16/02/2026,Macetero M28,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
301,16/02/2026,Tierra 15 L,,1,$4.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
302,16/02/2026,Atomizador,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
303,17/02/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
304,17/02/2026,Cactus L,,1,$10.000,Ventas presencial,Efectivo,Si,febrero,mar,,
305,17/02/2026,Cordatum Brasil,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
306,17/02/2026,Macetero Cerámica Blanco M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
307,17/02/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
308,17/02/2026,Sustrato,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
309,17/02/2026,tutor palito,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
310,18/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
311,18/02/2026,Helecho Crype Wave,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
312,18/02/2026,Caladium,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
313,18/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Efectivo,Si,febrero,mié,,
314,18/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Efectivo,Si,febrero,mié,,
315,18/02/2026,Macetero Cerámica generico S,,1,$2.000,Ventas presencial,Efectivo,Si,febrero,mié,,
316,18/02/2026,Tradescantia Nanouk M,,1,$3.500,Ventas presencial,Efectivo,Si,febrero,mié,,
317,18/02/2026,Singonio Plateado L,,1,$8.000,Ventas presencial,Efectivo,Si,febrero,mié,,
318,18/02/2026,Dólar Negro L,,1,$3.500,Ventas presencial,Efectivo,Si,febrero,mié,,
319,18/02/2026,Sustrato,,10,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
320,19/02/2026,Manto de Eva,,1,$25.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
321,19/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
322,19/02/2026,Monstera Andasonii,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
323,19/02/2026,Tradescantia Zebrina L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
324,19/02/2026,Hierba Orégano,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
325,19/02/2026,Hierba Menta,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
326,19/02/2026,Helecho L,,2,$12.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
327,19/02/2026,Helecho Crype Wave,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
328,19/02/2026,Singonio Plateado L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
329,19/02/2026,Macetero Cerámica Blanco L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
330,19/02/2026,Sustrato,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
331,19/02/2026,Macetero Resina S,,1,$2.500,Ventas presencial,Efectivo,Si,febrero,jue,,
332,19/02/2026,Macetero M8,,3,$1.500,Ventas presencial,Efectivo,Si,febrero,jue,,
333,19/02/2026,Sustrato,,2,$2.000,Ventas presencial,Efectivo,Si,febrero,jue,,
334,19/02/2026,Macetero Cerámica generico S,,2,$4.000,Ventas presencial,Efectivo,Si,febrero,jue,,
335,19/02/2026,Cactus L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
336,19/02/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,jue,,
337,19/02/2026,Caladium,,1,$10.000,Venta por instagram,Efectivo,Si,febrero,jue,,
338,19/02/2026,Dólar Duo M,,1,$3.500,Ventas presencial,Efectivo,Si,febrero,jue,,
339,19/02/2026,Tradescantia Zebrina L,,1,$6.500,Ventas presencial,Efectivo,Si,febrero,jue,,
340,20/02/2026,Palmera Chameadora,,1,$11.600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
341,20/02/2026,Begonia Alas de Ángel,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
342,20/02/2026,Macetero Cerámica Petróleo M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
343,20/02/2026,Hierba albahaca,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
344,20/02/2026,Suculenta S,,2,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
345,20/02/2026,Suculenta XS,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
346,20/02/2026,Tradescantia Nanouk S,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
347,20/02/2026,Hierba Ciboulette,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
348,20/02/2026,Tradescantia Nanouk M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
349,20/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
350,20/02/2026,Sustrato,,5,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
351,20/02/2026,Ficus Shivereana M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
352,20/02/2026,Hypoeste M,,3,$7.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
353,20/02/2026,Helecho L,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
354,20/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
355,20/02/2026,Cactus S,,3,$9.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
356,20/02/2026,Sustrato,,6,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,vie,,
357,21/02/2026,Sustrato,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
358,21/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
359,21/02/2026,Cordatum Brasil,,1,$9.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
360,21/02/2026,Pothus Golden,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
361,21/02/2026,Iresine Morado,,1,$4.000,Venta por instagram,Transferencia,Si,febrero,sáb,,
362,21/02/2026,Hypoeste M,,1,$2.500,Venta por instagram,Transferencia,Si,febrero,sáb,,
363,21/02/2026,Calathea Rubifarda,,1,$6.000,Venta por instagram,Transferencia,Si,febrero,sáb,,
364,21/02/2026,Tierra 15 L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
365,21/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
366,21/02/2026,Begonia Alas de Ángel,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
367,21/02/2026,Macetero M19,,2,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
368,21/02/2026,Sustrato,,5,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
369,21/02/2026,Hierba Buena,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
370,21/02/2026,Sustrato,,10,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
371,21/02/2026,Cactus M,,1,$7.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
372,21/02/2026,Sustrato,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
373,21/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
374,21/02/2026,Plato M11.5 - 14,,1,$600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
375,21/02/2026,Cucharita M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
376,21/02/2026,Sustrato,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
377,21/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
378,21/02/2026,Hierba albahaca,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
379,21/02/2026,Hierba Romero S,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
380,21/02/2026,Hierba Gatera,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
381,21/02/2026,Hierba Buena,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,sáb,,
382,22/02/2026,Filodendro Pink Princess M,,1,$13.600,Venta por Whatsap,Transferencia,Si,febrero,dom,,
383,22/02/2026,Filodendro Pink Princess M,,1,$13.600,Venta por Whatsap,Transferencia,Si,febrero,dom,,
384,23/02/2026,Dólar Blanco M,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
385,23/02/2026,Hierba Ruda,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
386,23/02/2026,Dólar Blanco S,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
387,23/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
388,23/02/2026,Suculenta S,,2,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
389,23/02/2026,Singonio Plateado M,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
390,23/02/2026,Begonia Alas de Ángel,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
391,23/02/2026,Sustrato,,10,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
392,23/02/2026,Cucharita M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
393,23/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,lun,,
394,23/02/2026,Ficus Lyrata,,1,$10.000,Venta por instagram,Transferencia,Si,febrero,lun,,
395,23/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Efectivo,Si,febrero,lun,,
396,23/02/2026,Suculenta XS,,2,$2.000,Ventas presencial,Efectivo,Si,febrero,lun,,
397,24/02/2026,Palmera Chameadora,,1,$11.600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
398,24/02/2026,Monstera Deliciosa M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
399,24/02/2026,Jabón Potásico,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
400,24/02/2026,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
401,24/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
402,24/02/2026,Pothus Golden,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
403,24/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
404,24/02/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
405,24/02/2026,Sanseviera L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
406,24/02/2026,Tutor musgo 30 cm,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
407,24/02/2026,Filodendro Pink Princess M,,1,$13.600,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
408,24/02/2026,Monstera Deliciosa M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
409,24/02/2026,Macetero cerámica celeste L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
410,24/02/2026,Macetero Cerámica Petróleo S,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
411,24/02/2026,Tradescantia Nanouk M,,1,$4.000,Ventas presencial,Efectivo,Si,febrero,mar,,
412,24/02/2026,Cordatum Lemon,,1,$9.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
413,24/02/2026,Filodendro Paraguayo M,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
414,24/02/2026,Dolar Chaucha,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mar,,
415,24/02/2026,Macetero Cerámica generico S,,1,$3.000,Ventas presencial,Efectivo,Si,febrero,mar,,
416,25/02/2026,Macetero Cerámica Dinosaurio,,1,$9.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
417,25/02/2026,Hierba Ruda,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
418,25/02/2026,Tierra 15 L,,1,$5.000,Ventas presencial,Efectivo,Si,febrero,mié,,
419,25/02/2026,Mala Madre M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
420,25/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,febrero,mié,,
421,25/02/2026,Pajarito Autoregante,,1,$2.000,Ventas presencial,Efectivo,Si,febrero,mié,,
422,25/02/2026,Suculenta M,,1,$3.000,Ventas presencial,Efectivo,Si,febrero,mié,,
423,25/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Efectivo,Si,febrero,mié,,
424,25/02/2026,Patita de Jaiba,,1,$7.500,Ventas presencial,Efectivo,Si,febrero,mié,,
425,25/02/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Efectivo,Si,febrero,mié,,
426,25/02/2026,Suculenta S,,1,$2.000,Ventas presencial,Efectivo,Si,febrero,mié,,
